id,name,flag,vessel_type_id,imo,call_sign,bruttotons,length_overall,vessel_status_id,checked,in_zone
985,Brusoyskjar,PE,2,9281994.0,OA3080,663.0,45.0,1,True,True
1009,Strand Senior,NO,2,9871024.0,LFSY,2884.0,75.0,1,True,True
1010,Taits,GB,2,9816294.0,MCQI2,2852.0,75.0,1,True,True
1094,Hovden Viking,NO,2,9827592.0,LEYN,1010.0,46.0,1,True,True
1095,Rav,NO,2,9816816.0,LFSW,3274.0,78.0,1,True,True
1099,Nordhavet,NO,2,9818412.0,LEPQ,605.0,45.15,1,True,True
1150,Nuevo Horizonte Abierto,ES,2,9193343.0,EAQZ,144.0,30.0,1,True,False
1152,Gerd Julie,NO,2,9829863.0,LDXP,499.0,40.0,1,True,True
1161,Menhaden,IE,2,9189330.0,EIVT,816.0,50.0,1,True,True
1190,Viking,RU,2,9167916.0,UIOJ,1764.0,64.0,1,True,False
1269,Asbjorn (RU),RU,2,9191735.0,UALP,1372.0,65.0,1,True,False
1274,Cazador,CL,2,9151046.0,CB8503,1910.0,75.0,1,True,False
1275,Don Manuel,CL,2,9141560.0,CB5989,1315.0,65.0,1,True,False
1276,Dona Laura,CL,2,9083782.0,CA8511,812.0,47.0,1,True,False
1277,CHIVILINGO I,CL,2,9073206.0,CB5129,762.0,52.0,3,True,False
1278,Don Alfonso,CL,2,9169251.0,CBDS,1900.0,75.0,1,True,False
1279,Erika (CL - deleted),CL,2,,Unknown,1666.0,59.0,3,True,False
1280,Don Edmundo,CL,2,9160918.0,CB5797,1446.0,66.0,1,True,False
1281,Cobra,CL,2,9160695.0,CB6027,1312.0,65.0,1,True,False
1282,Rapanui,CL,2,9123063.0,CB5701,1189.0,61.0,1,True,False
1283,Yelcho I,CL,2,9111785.0,CB5536,1196.0,64.0,1,True,False
1310,Trondskjær,NO,2,9830147.0,LFBC,499.0,39.7,1,True,True
1326,Corsario I,CL,2,9148477.0,CB5902,1533.0,71.0,1,True,False
1327,Don Boris,CL,2,9145504.0,CB5968,1174.0,63.0,1,True,False
1328,Don Julio,CL,2,9114335.0,CBDJ,1397.0,66.0,1,True,False
1329,DON MANUEL,CL,2,9141560.0,CB5989,1310.0,65.0,3,True,False
1330,Don Tito,CL,2,9105827.0,CB5227,800.0,48.0,1,True,False
1331,Duqueco,CL,2,9083809.0,CB5274,886.0,58.0,1,True,False
1332,Francisco,CL,2,9055943.0,CB5058,799.0,51.0,3,True,False
1333,Lonco,CL,2,9165138.0,CBLN,1315.0,64.0,1,True,False
1334,Maria Jose (CL),CL,2,9145499.0,CB6001,1447.0,66.0,1,True,False
1335,Pehuenco,CL,2,9124457.0,CBPH,1253.0,63.0,1,True,False
1336,Pelicano,CL,2,9105671.0,CA2541,1475.0,60.0,1,True,False
1337,Querelema,CL,2,9073646.0,CB5103,1222.0,58.0,1,True,False
1338,San Jose,CL,2,9184407.0,CBJS,2005.0,75.0,1,True,False
1339,Terranova,CL,2,9048213.0,CB4956,919.0,52.0,3,True,False
1340,Ventisquero,CL,2,9143324.0,CBVT,1447.0,66.0,1,True,False
1341,Vesterveg,CL,2,9163013.0,CBVG,1451.0,60.0,1,True,False
1342,Vichuquen II,CL,2,9171668.0,CBVH,1694.0,70.0,1,True,False
